Model name,Model Size,Layer,Coeff,File Path,Max Tokens,Init->Opin,Init->Neut,Init->Nons,Opin->Opin,Opin->Neut,Opin->Nons,Neut->Opin,Neut->Neut,Neut->Nons
Model name,Model Size,Layer,Coeff,File Path,Max Tokens,Init->Opin,Init->Neut,Init->Nons,Opin->Opin,Opin->Neut,Opin->Nons,Neut->Opin,Neut->Neut,Neut->Nons
Model name,Model Size,Layer,Coeff,File Path,Max Tokens,Init->Opin,Init->Neut,Init->Nons,Opin->Opin,Opin->Neut,Opin->Nons,Neut->Opin,Neut->Neut,Neut->Nons
Model name,Model Size,Layer,Coeff,File Path,Max Tokens,Init->Opin,Init->Neut,Init->Nons,Opin->Opin,Opin->Neut,Opin->Nons,Neut->Opin,Neut->Neut,Neut->Nons
Qwen/Qwen2.5-0.5B-Instruct,0_5B-IT,-1,(6:6),128,farhan_logs/Log_251_Varied_Sizes_Qwen2.5-0.5B-Instruct//log_251_Qwen2.5-0.5B-Instruct,30,66,0,59,37,0,0,96,0
Qwen/Qwen2.5-1.5B-Instruct,1_5B-IT,-1,(6:6),128,farhan_logs/Log_252_Varied_Sizes_Qwen2.5-1.5B-Instruct//log_252_Qwen2.5-1.5B-Instruct,55,41,0,83,13,0,18,78,0
Qwen/Qwen2.5-3B-Instruct,3B-IT,-1,(6:6),128,farhan_logs/Log_253_Varied_Sizes_Qwen2.5-3B-Instruct//log_253_Qwen2.5-3B-Instruct,53,43,0,71,25,0,31,65,0
Qwen/Qwen2.5-7B-Instruct,7B-IT,-1,(6:6),128,farhan_logs/Log_254_Varied_Sizes_Qwen2.5-7B-Instruct//log_254_Qwen2.5-7B-Instruct,37,59,0,72,24,0,5,90,1
Qwen/Qwen2.5-14B-Instruct,14B-IT,-1,(6:6),128,farhan_logs/Log_255_Varied_Sizes_Qwen2.5-14B-Instruct//log_255_Qwen2.5-14B-Instruct,54,42,0,54,42,0,16,80,0
