Model name,Model Size,Coeff,File Path,Max Tokens,Init->Opin,Init->Neut,Init->Nons,Opin->Opin,Opin->Neut,Opin->Nons,Neut->Opin,Neut->Neut,Neut->Nons
Model name,Model Size,Coeff,File Path,Max Tokens,Init->Opin,Init->Neut,Init->Nons,Opin->Opin,Opin->Neut,Opin->Nons,Neut->Opin,Neut->Neut,Neut->Nons
Model name,Model Size,Coeff,File Path,Max Tokens,Init->Opin,Init->Neut,Init->Nons,Opin->Opin,Opin->Neut,Opin->Nons,Neut->Opin,Neut->Neut,Neut->Nons
google/gemma-2b-it,2b-it,(7:7),128,farhan_logs/Log_288_Coeff_Batching_gemma-2b-it//log_288_gemma-2b-it(7),27,5,0,31,1,0,4,28,0
google/gemma-2b-it,2b-it,(8:8),128,farhan_logs/Log_288_Coeff_Batching_gemma-2b-it//log_288_gemma-2b-it(8),27,5,0,30,2,0,4,28,0
google/gemma-2b-it,2b-it,(9:9),128,farhan_logs/Log_288_Coeff_Batching_gemma-2b-it//log_288_gemma-2b-it(9),27,5,0,24,8,0,2,30,0
google/gemma-2b-it,2b-it,(10:10),128,farhan_logs/Log_288_Coeff_Batching_gemma-2b-it//log_288_gemma-2b-it(10),27,5,0,23,9,0,3,29,0
google/gemma-2b-it,2b-it,(11:11),128,farhan_logs/Log_288_Coeff_Batching_gemma-2b-it//log_288_gemma-2b-it(11),27,5,0,15,17,0,1,31,0
google/gemma-2b-it,2b-it,(12:12),128,farhan_logs/Log_288_Coeff_Batching_gemma-2b-it//log_288_gemma-2b-it(12),27,5,0,10,22,0,3,29,0
google/gemma-2b-it,2b-it,(13:13),128,farhan_logs/Log_288_Coeff_Batching_gemma-2b-it//log_288_gemma-2b-it(13),27,5,0,4,28,0,6,26,0
google/gemma-2b-it,2b-it,(14:14),128,farhan_logs/Log_288_Coeff_Batching_gemma-2b-it//log_288_gemma-2b-it(14),27,5,0,2,30,0,4,28,0
google/gemma-2b-it,2b-it,(15:15),128,farhan_logs/Log_288_Coeff_Batching_gemma-2b-it//log_288_gemma-2b-it(15),27,5,0,1,31,0,5,27,0
google/gemma-2b-it,2b-it,(16:16),128,farhan_logs/Log_288_Coeff_Batching_gemma-2b-it//log_288_gemma-2b-it(16),27,5,0,2,30,0,3,29,0
google/gemma-2b-it,2b-it,(17:17),128,farhan_logs/Log_288_Coeff_Batching_gemma-2b-it//log_288_gemma-2b-it(17),27,5,0,2,30,0,7,25,0
google/gemma-2b-it,2b-it,(18:18),128,farhan_logs/Log_288_Coeff_Batching_gemma-2b-it//log_288_gemma-2b-it(18),27,5,0,2,30,0,4,28,0
google/gemma-2b-it,2b-it,(19:19),128,farhan_logs/Log_288_Coeff_Batching_gemma-2b-it//log_288_gemma-2b-it(19),27,5,0,1,31,0,2,30,0
google/gemma-2b-it,2b-it,(6:11),128,farhan_logs/Log_288_Coeff_Batching_gemma-2b-it//log_288_gemma-2b-it,74,26,0,100,0,0,14,86,0
