Model name,Model Size,Layer,Coeff,Max Tokens,File Path,Init->Opin,Init->Neut,Init->Nons,Opin->Opin,Opin->Neut,Opin->Nons,Neut->Opin,Neut->Neut,Neut->Nons
Model name,Model Size,Layer,Coeff,Max Tokens,File Path,Init->Opin,Init->Neut,Init->Nons,Opin->Opin,Opin->Neut,Opin->Nons,Neut->Opin,Neut->Neut,Neut->Nons
Model name,Model Size,Layer,Coeff,Max Tokens,File Path,Init->Opin,Init->Neut,Init->Nons,Opin->Opin,Opin->Neut,Opin->Nons,Neut->Opin,Neut->Neut,Neut->Nons
Model name,Model Size,Layer,Coeff,Max Tokens,File Path,Init->Opin,Init->Neut,Init->Nons,Opin->Opin,Opin->Neut,Opin->Nons,Neut->Opin,Neut->Neut,Neut->Nons
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(4.5:4.5),128,farhan_logs/Log_210_Refusal_To_Opinion_Qwen1.5-1.8B-Chat//log_210_Qwen1.5-1.8B-Chat,13,85,1,43,56,0,43,56,0
01-ai/Yi-6B-Chat,6B-Chat,-1,(1:1),128,farhan_logs/Log_211_Refusal_To_Opinion_Yi-6B-Chat//log_211_Yi-6B-Chat,7,92,0,3,94,2,5,94,0
